/Users/invis/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
INFO:__main__:🍽️ 食べログからデータ取得開始（改良版V2）
INFO:tabelog_scraper_async_v2:前回の進捗を読み込みました: 760件処理済み
INFO:tabelog_scraper_async_v2:前回の結果を読み込みました: 760件
INFO:tabelog_scraper_async_v2:🍽️ 東京都のデータ取得開始
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/203/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/199/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/204/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/205/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/207/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/210/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/206/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/209/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/212/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/211/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/208/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/213/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/214/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/216/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/217/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/218/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/219/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/215/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/220/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/221/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/222/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/224/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/225/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/228/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/223/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/227/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/226/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/232/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/229/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/230/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/233/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/231/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/234/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/235/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/236/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/239/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/237/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/238/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/240/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/242/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/241/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/243/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/244/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/246/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/245/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/249/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/247/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/248/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/250/
INFO:tabelog_scraper_async_v2:ページ 1: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 2: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 3: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 4: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 5: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 6: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 7: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 8: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 9: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 10: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 11: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 12: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 13: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 14: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 15: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 16: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 17: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 18: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 19: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 20: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 21: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 22: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 23: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 24: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 25: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 26: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 27: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 28: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 29: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 30: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 31: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 32: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 33: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 34: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 35: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 36: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 37: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 38: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 39: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 40: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 41: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 42: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 43: 20件の店舗URL取得
INFO:tabelog_scraper_async_v2:ページ 44: 20件の店舗URL取得
